comments,date,name
"
Le Maroc doit reconstruire ou restrecturer le système judiciaire et se libérer et laisser tomber le vieux système français qui a des sérieux défiance en matière de la criminologie et faire preuve de courage et civisme envers ce pays. Un criminel sa place la prison sévère ou peine capitale selon les causes, les américains sont un exemple, le criminel paie sur place. 55
",الأحد 01 شتنبر 2019 - 01:43,
"
أرجو أن يجد المقال آذان صاغية ، شكرآ الاستاذ يوسف حفظك الله
",الأحد 01 شتنبر 2019 - 11:20,
"
يا أخي أكيد وانت المقيم في كندا انك تعرف الباب الدوّار الذي تجده عند مداخل الفضاءات التجارية الكبرى والذي يتيح لك الدخول واللّف والخروج من نفس نقطة الدخول .. نعم بإمكانك ان تتوهم انك داخل وتخرج في نفس الوقت وذلك مصير أجزاء كبيرة من المساعدات التي ذكرت وتلك التي خفيت عليك وعلينا جميعاً .. وحبذا وبنفس الشفافية التي مكَّنتك من الوقوف على مبالغ الاعتمادات الممنوحة كمساعدات وكزكاة يعشٌر بها "" الكفار "" ثرواتهم لو اتيحت الفرصة للوقوف على حجم المبالغ التي زاغت عن سكتها والاهداف المرصودة لها وتلك التي ترقد في سلام في ابناك سويسرا الحصينة وتلك التي هاجرت الى الجنّات الضريبية في بنما وغيرها وتلك التي عبرت المغرب ترانزيت فقط قبل ان تستقر في شكل عقارات في العواصم الغربية الكبرى وفي منتجعات الجنوب الإسباني واليوناني وما خفي كان أعظم .. أحياناً يصادف ان نتصدق على متسول نكتشف فيما بعد انه صاحب عقارات وودائع فنعزّي أنفسنا نحن المخدوعون بالقول "" المهم درت النيّة "" وكذلك كندا المخدوعة .. المهم دارت النيّة .. تحياتي إليك أيها المرموق المغترب جسداً لا روحاً ..
 ",الأحد 01 شتنبر 2019 - 13:18,<strong>زينون الرواقي</strong>
"
يتوهم من يعتقد ان الدول المانحة من السداجة بحيت تقدم مساعدات لتتجه لجيوب الفاسدين هدا كان من الماضي اما الان فهي تشرف بنفسها على الصرف وتحقيق الاهداف المسطرة وينطبق هدا على كل المساعدات التي تمنح لبلادنا
",الأحد 01 شتنبر 2019 - 18:49,<strong>بدون مزايدة</strong>
"
يتوهم من يعتقد ان الدول المانحة من السداجة بحيت تقدم مساعدات لتتجه لجيوب الفاسدين هدا كان من الماضي اما الان فهي تشرف بنفسها على الصرف وتحقيق الاهداف المسطرة وينطبق هدا على كل المساعدات التي تمنح لبلادنا
",الأحد 01 شتنبر 2019 - 19:14,<strong>بدون مزايدة</strong>
"
اخي العزيز، جاء في المقال ان جامعة محمد٥ و القاضي عياض قد حصلت على مساعدات من جامعة مونتريال مجزية إلى 2021 مقدارها مليار و 800مليون اي تقريبا 900 مليون سنتيم للجامعة. سنكون شاكرين لو قمت ببحث بسيط و تنورنا كيف تم انفاق هذه الأموال لحد الساعة.
",الأحد 01 شتنبر 2019 - 21:50,<strong>الى رقم 3</strong>
"
ونحن كمغاربة نهنئ مولانا أمير المؤمنين محمد السادس نصره الله بهذه المناسبة الكريمة أعادها الله بالصحة والعافية على ملكنا العزيز وأطال الله في عمره آمين
",الأحد 01 شتنبر 2019 - 03:28,<strong>smail</strong>
"
نهنئ صاحب الجلالة المفدى بالسنة الهجرية الجديدة أعادها الله عليه وعلى أفراد أسرته الشريفة من أمراء واميرات بالصحة والعافية وطن عمر مديد واعانه الله في خطأه ومسيرته الاقتصادية والتنموية الداخلية التي شملها جلالته برعايته وتوجيهاته الحكيمة في شتى المجالات بلا استثناء حفظه تعالى اللهم ورزقه البطانة الطيبة واحفظه بما حفظت به الذكر الكريم وأعاد هذه السنة على الشعب المغربي بالأمن والرخاء والازدهار وسائر البلدان العربية والإسلامية وحفظ بلادنا من الفتن الظاهر منها والباطن انك على كل شيء قدير و بالاجابة ان شاء الله جدير امين امين امين
",الأربعاء 04 شتنبر 2019 - 09:53,
"
نيمار أغلى صفقة ...
لكنني أراه أبخس لاعب على مر التاريخ من حيث الكرامة و المروؤة و حبه للمال حبا جما .....
",الأحد 01 شتنبر 2019 - 01:43,
"
راه عاد إلى فريقه السابق برشلونة الإسباني، قبل 72 ساعة من إغلاق سوق الانتقالات الصيفية في إسبانيا هاد الخبر أكدتو شبكة سكاي سبورت
",الأحد 01 شتنبر 2019 - 01:52,
