الأحد 22 دجنبر 2019 - 08:17,محمد ال الشيخ,اقترح على الجهة الشرقية تنظيم مهرجان الفقراء و مشركتنا باف درهم حتى نغني الف فقير.
الأحد 22 دجنبر 2019 - 14:14,محمد بلحسن,"شكرا على معلومات قيمة واستنتاجات قيمة لاشك أنها ستصل لمسامع أعضاء اللجنة الخاصة بالنموذج التنموي:
- في نهاية ولاية Kurt Waldheim على رأس هيئة الأممة المتحدة (1981) أنشأ مجلسها الاقتصادي والاجتماعي فريق عمل من الخبراء الحكوميين لدراسة نطاق ومضمون الحق في التنمية وطلب إيلاء اهتمام خاص للمعيقات التي تواجهها البلدان ""النامية"" في سعيها لتأمين التمتع بحقوق الإنسان.
في بداية عهد Javier Pérez de Cuellar (من 1982 إلى 1991) كانت السنغال ومالي سباقتين لإصدار قوانين تجرم الغنى الفاحش.
رئيس مالي الجنرال Moussa Traoré كان قد وقع ذلك السند القانوني في 26 مارس 1982.
في 7 أكتوبر 1991 غادرت بلدي المغرب للعمل طيلة 4 سنوات بورش من الأوراش الطرقية الكبرى بالسنغال على الحدود مع دولة مالي.
أتذكر أنني وجدت غالبية سكان المنطقة الحدودية يتابعون, عبر الراديو, محاكمة رئيس الدولة الجنرال Traoré بعد نجاح إنقلاب عسكري في 26 مارس 1991.
رغم وجود قوانين, المحاكمة عرت على تجاوزات في تدبير المال العام.
خلاصة: اللجنة الخاصة مطالبة بالإنفتاح على خبرات وتجارب ميدانية ها هي تنشرها الجرائد الالكترونية وعلى رجال السياسة والقانون."
الجمعة 20 دجنبر 2019 - 09:35,متتبع,"الشكر الجزيل لصاحب المقال الذي يتحفنا داءما بكتاباته العلمية والبعيدة عن كل تشنج وحمية على نقيض ما نراه من بعض ""الفراشة"" الحزبية التي لاهم لها الا الاثارة والتنطع وخلق الفرقة بين المغاربة."
الجمعة 20 دجنبر 2019 - 12:00,لوسيور الامازيغي,"ان الحجة القئمة والدليل المفحم على ان اللغة العربية كباقي اللغات الاكادية لغة ميتة انها لم تعد لغة تواصل يومي..بل انها فقدت جل مفرداتها القديمة وطالها النسيان ..ولعل من عجل بموت العربية هو الاختلاط واللحن..فالعربية رغم كثرة الاطراء والمديح تظل لغة ميتة..
اما الحديث عن نحوها فهو منقول عن اليونان عن افلاطون بالضبط وهناك بعض الاضافات البسيطة فقط ومن يدعي غير ذلك فهو جاهل وقليل الزاد المعرفي..واما حروفها فقد كانت تكتب بالخط البزانطي ثم ابتكر العجم لها خطا بدون نقط واخلتط عليهم الامر في قراءة بعض الكلمات ذئاب وذباب فصحفوا الحروف بوضع النقط والحركات..انته خط الزواحف التاء مثل الثاء مثل النون مثل الباء..الذال بالخالة والدال بدون التاء المشركة والتاء المربوطة ظاء بلنطير الباء نقطة من تحتها.
من يتمسك بالعربية ويعتقد انها السبيل نحو النجاة كمن يطلب الشفاء من مرض مزمن بالحبة السوداء وبول الناقة"
الجمعة 20 دجنبر 2019 - 12:16,عروبي...,"أساليب الدفاع عن مكانة اللغة العربية بالمغرب، اليوم، تختلف، جوهريا، عن أساليب الأمس، نظرا للتحولات الكبرى التي تغزو العالم . 
يجب أن نؤكد، أولا، أن المقاربة الإسلاموية التقليدية لدور اللغة كمقوم إيديولوجي، هي مقاربة مفلسة تسيء للغة العربية أكثر مما تحسن، فلا أحد مستعد لسماع الأساطير المؤسسة لقدسية اللغة العربية، أضف لذلك أن الفاعل الإسلاموي قد حول اللغة العربية إلى حصان طروادة في معاركه الانتخابوية الخاسرة. 
لذلك، لابد أن يعي المدافعون عن اللغة العربية أن المعركة أقوى و أشرس مما قد يتوهم بعض هواة اللعب السياسي، فهي تواجه تحديين أحدهما أخطر من الآخر: 
#التحدي الفرنكفوني، الذي يوظف الإرث الاستعماري في مواجهته لعروبة المغرب
#التحدي العرقي، و هو أخطر من سابقه، لأنه تحد داخلي يقدم نفسه كوكيل للمنظومة الاستعمارية يخدمها مضحيا بثوابت الوطن و الأمة.
هذا التحدي الفرنكو-عرقي المزدوج شكلا و الموحد مضمونا، هو ما يهدد مكانة اللغة العربية بالمغرب. و لذلك، لابد أن يعي المثقف الوطني أن مواجهته لهذا التحدي، هي المدخل الرئيسي للدفاع عن مكانة اللغة العربية.
منقول عن ادريس جنداري"
الجمعة 20 دجنبر 2019 - 10:53,تازي,هناك جعجعة دون طحين فيما يخص السيد البكاي. الوفاء لفرنسا. منصب رئيس حكومة. الوفاء للسلطان. استقلال المغرب. هناك متضاربات. وخلط لم افهم شيئا.
الأحد 22 دجنبر 2019 - 10:19,بلال,فعلا بلد جميل وبلد الخيرات ..ولكن المافيات والعفاريت والتماسيح جعلت منه بلد فقير ومهمش ..وجعلت شبابه يركبون امواج الموت بحتا عن العيش الكريم...السيد السفير لم ينزل عند الشعب المقهور ليرى بنفسه معاناة المواطن مع غلاء المعيشة وتفشي الجريمة خصوصا بعد تركيع الشعب وفرض الساعة المشؤومة...نحن لاشئ في هذا البلد نفضل ان يحل اجلنا لنرجع الى ربنا عوض العيش في القهر والمدلة...
الأحد 22 دجنبر 2019 - 10:41,محيي,خذ من مذخراتك واشتر منزلا بالمغرب تجده بعد تقاعدك.
الأحد 22 دجنبر 2019 - 08:14,متتبع,راحلة و القمر الأحمر كلمات الاستاذ الكبير عبد الرفيع الجواهري، المحامي، الشاعر، الصحافي والكاتب، أين مثل هذا الهرم في وقتنا هاذا؟ أين الرواض الكبار خريجي المدرسة المغربية الأصيلة التي تعاني وتقاسي حاليآ، يجب انقادها اذا أردتم يوما ما سماع مثل اغاني الأساتذة الكبار.
الأحد 22 دجنبر 2019 - 09:41,ااحسين,يبدو لي من الصورة أن مكتب رئيس جماعة سيدي رضوان المغمورة، أفضل بكثير من مكتب المستشارة الألمانية أنجيلا ميركل.
الأحد 22 دجنبر 2019 - 15:32,Mann,المخاطر ستكون ضحيتها الشعوب الكسولة التي تعول على الإتكالية و على الاوهام! .. لا حظوا من يشهد اضطرابات ليييا، الجزائر ،العراق، سوريا، أفغانستان،.... أغلبيتها دول إسلامية دليل على ان شعوب هاته الدول لا بد ان تستفيق و تغير من طريقة تفكيرها الكبتي، اللاهوتي، الداعشي .. لا تحملوا فشلكم لدول اخرى !
